TAHUN,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER
2006,156.29828,66.60838,153.68806,284.7216,416.6526,202.39645,194.41708,309.5776,366.54236,529.0357,468.31424,583.38666
2007,156.29828,66.60838,262.107,391.7161,519.4665,244.69057,393.8797,426.98013,380.94916,588.19727,542.2328,468.47177
2008,69.718994,48.471172,155.96065,387.7436,403.31842,242.58374,104.40886,241.53102,234.7806,265.35754,653.54004,267.5742
2009,86.82098,144.9726,343.91052,508.12646,634.84686,126.08642,216.26755,202.79832,143.89648,277.42627,333.96405,465.34964
2010,156.8736,193.69066,64.23305,548.87524,279.25348,131.83864,276.01218,191.00926,288.46133,511.36813,822.62354,624.2053
2011,289.38028,66.35756,419.67877,547.7893,262.24133,174.83241,247.04645,356.64093,531.1613,633.9386,658.7419,381.5945
2012,46.82058,39.063774,92.6649,215.51884,185.83043,286.90195,220.54434,284.82117,399.17172,264.28732,612.6838,515.10754
2013,80.63812,57.30211,278.0699,342.94174,241.67776,149.69235,112.59883,168.25105,224.10844,327.77466,460.8439,680.9062
2014,262.17648,112.70519,337.20645,533.84735,466.7345,467.31705,144.34872,295.58594,224.63988,185.28168,433.81912,422.00592
2015,278.23148,115.056915,229.97304,348.3982,357.9816,257.1758,282.53616,398.1425,586.45483,565.9916,475.29718,612.9676
2016,486.5665,363.393,679.21747,541.93134,410.3014,240.36823,283.94675,463.83755,522.01654,571.13934,396.88376,420.5324
2017,155.20119,38.74899,102.22193,309.94043,246.55054,144.269,388.02032,168.09264,294.5944,120.70709,349.57278,361.83856
2018,193.58794,102.54523,211.53593,215.12445,233.50177,234.07875,332.52277,100.4453,246.14465,194.59108,202.0352,413.72235
