Date,OT,Lat,Long,Depth,Mag,Location&Remark
17-11-2008,07-01-59.2,-8.73,110.37,33,4.6,S-Wonosari
18-11-2008,11-06-56.0,-7.45,109.60,50,3.1,S-Wonosobo
25-11-2008,07-01-08.8,-8.38,108.69,20,4.1,S-Nusakambangan
28-11-2008,14-00-34.8,-8.61,111.43,100,4.5,S-Ponorogo
04-12-2008,20-00-54.0,-7.70,110.11,20,3.1,U-Purworejo
06-12-2008,04-22-30.8,-9.14,110.39,20,4.2,S-Yogyakarta
06-12-2008,04-35-07.8,-9.14,110.38,10,4.2,S-Yogyakarta
09-12-2008,18-15-11.8,-7.61,110.29,10,4.0,S-Yogyakarta
09-12-2008,21-01-54.0,-9.65,111.97,60,4.1,S-Blitar
13-12-2008,15-24-15.9,-5.33,110.08,540,5.7,Laut-Jawa
16-12-2008,07-33-28.3,-7.18,109.69,10,2.0,Banjarnegara
31-12-2008,07-06-47..0,-9.01,110.58,10,4.6,S-Yogyakarta
06-01-2009,14-36-12.0,-8.94,109.16,40,4.4,S-Cilacap
06-01-2009,20-00-36.2,-11.75,111.02,40,4.6,Samudra-Hindia
16-01-2009,05-04-43.3,-7.48,109.28,176,4.8,S-Purwokerto
22-01-2009,03-05-38.8,-8.59,111.62,30,4.4,S-Pacitan
27-01-2009,19-24-02.2,-7.01,110.54,10,2.3,S-Kendal
03-02-2009,07-02-35.6,-9.20,109.80,33,2.6,Laut-Jawa
03-02-2009,07-14-15.2,-9.90,109.80,50,4.5,Laut-Jawa
07-02-2009,01-29-35.6,-10.22,110.23,33,4.1,S-Yogyakarta
18-02-2009,22-03-24.9,-14.53,110.02,33,5.7,S-Pacitan
28-02-2009,10-01-02.6,-10.30,110.43,33,4.6,S-Yogyakarta
13-03-2009,16-43-48.7,-8.53,110.00,33,3.7,S-Yogyakarta
19-03-2009,03-30-15.0,-8.57,110.32,50,3.6,S-Yogyakarta
19-03-2009,18-28-30.0,-8.51,111.56,50,4.8,TG-Yogyakarta
23-03-2009,10-56-01.7,-8.09,109.18,33,3.8,BD-Cilacap
03-04-2009,18-12-59.4,-11.60,111.63,60,5.2,S-Pacitan
04-04-2009,17-26-40.6,-8.15,109.80,33,3.3,S-Purworejo
10-04-2009,19-29-37.3,-8.15,110.32,40,3.2,S-Yogyakarta
28-04-2009,01-10-13.0,-8.44,110.20,40,3.2,S-Yogyakarta
29-04-2009,21-39-21.5,-5.61,110.00,40,29.0,Laut-Jawa
07-05-2009,07-03-35.0,-8.12,108.96,50,4.6,S-Cilacap
13-05-2009,18-31-06.9,-8.07,110.42,20,3.8,S-Yogyakarta
14-05-2009,02-58-16.0,-7.74,110.94,20,3.2,Wonogiri
15-05-2009,00-23-12.0,-9.66,111.20,30,3.6,S-Pacitan
17-05-2009,01-37-45.9,-8.59,109.30,30,3.7,S-Cilacap
17-05-2009,22-51-39.7,-9.69,108.83,30,4.0,S-Cilacap
17-05-2009,23-08-11.1,-7.93,110.46,30,3.6,S-Yogyakarta
17-05-2009,23-58-01.9,-7.63,110.46,30,3.3,S-Yogyakarta
18-05-2009,08-15-20.9,-7.98,109.66,30,3.7,S-Cilacap
21-05-2009,08-52-05.0,-8.71,110.90,30,3.9,S-Wonosari-DIY
23-05-2009,15-59-54.0,-7.26,109.67,5,1.7,Banjarnegara
23-05-2009,16-06-14.5,-7.37,109.62,5,1.7,Banjarnegara
24-05-2009,09-56-01.1,-7.34,109.71,10,3.5,Banjarnegara
25-05-2009,07-15-008,-7.87,108.78,50,3.9,S-Pangandaran
26-05-2009,07-42-02.3,-8.44,109.11,33,3.5,S-Cilacap
26-05-2009,17-24-03.0,-5.23,109.34,30,3.5,Laut-Jawa
28-05-2009,02-45-37.0,-9.49,108.72,30,3.8,S-Cilacap
28-05-2009,04-39-52.0,-9.42,108.69,30,3.1,S-Cilacap
30-05-2009,07-41-07.1,-7.33,109.63,10,2.0,Banjarnegara
05-06-2009,12-11-35.9,-9.87,111.95,30,4.9,S-Tulungagung
10-06-2009,22-02-09.0,-8.40,110.17,10,2.5,S-Wonosari
17-06-2009,19-42-39.4,-8.10,108.54,20,4.8,BD-Cilacap
23-06-2009,14-26-52.7,-9.30,109.86,33,4.5,S-Yogyakarta
26-06-2009,14-43-53.1,-8.66,108.98,33,3.8,S-Cilacap
03-07-2009,06-49-01.2,-7.45,108.62,20,2.7,S-Cilacap
10-07-2009,06-12-04.0,-7.93,110.87,30,2.3,Wonogiri
17-07-2009,11-13-17.1,-8.21,108.65,30,4.0,Pangandaran
25-07-2009,01-50-05.7,-9.00,108.70,80,3.6,S-Pangandaran
26-07-2009,23-10-20.4,-11.49,110.43,30,5.7,S-Yogyakarta
28-07-2009,12-51-07.0,-8.68,111.58,10,5.3,TG-Blitar
28-07-2009,13-52-59.0,-8.84,111.87,10,3.3,TG-Blitar
28-07-2009,23-11-42.8,-7.93,111.03,10,2.6,Pacitan
31-07-2009,14-56-17.2,-9.25,108.67,30,5.6,BD-Cilacap
04-08-2009,09-20-41.8,-8.29,109.90,30,3.1,S-Kebumen
12-08-2009,09-41-41.8,-7.74,110.67,10,2.1,Wonosari-DIY
12-08-2009,20-08-09.0,-8.80,111.25,40,3.9,S-Pacitan
19-08-2009,02-04-47.8,-8.18,109.62,30,4.2,S-Kebumen
19-08-2009,06-04-00.4,-9.06,110.59,40,3.9,S-Yogyakarta
22-08-2009,04-35-27.0,-7.85,110.24,30,3.0,S-Yogyakarta
31-08-2009,05-45-19.2,-9.50,110.92,30,3.3,S-Yogyakarta
01-09-2009,01-01-48.9,-7.90,109.70,33,2.0,S-Kebumen
02-09-2009,14-55-46.0,-9.11,111.10,30,2.8,S-Pacitan
02-09-2009,20-49-02.0,-9.73,109.03,20,3.5,S-Cilacap
03-09-2009,03-22-20.5,-8.46,108.88,30,3.0,S-Pangandaran
03-09-2009,05-03-42.6,-8.04,111.96,30,3.8,S-Blitar
03-09-2009,19-57-41.3,-7.61,109.53,30,3.7,S-Kebumen
07-09-2009,07-38-53.6,-9.03,110.97,30,4.1,S-Yogyakarta
07-09-2009,16-12-21.5,-10.41,110.65,30,6.6,Wonosari-DIY
12-09-2009,22-45-57.5,-8.66,110.54,40,4.5,S-Yogyakarta
16-09-2009,21-32-47.4,-8.80,111.57,30,3.2,S-Blitar
18-09-2009,12-42-52.6,-8.30,110.88,50,4.2,S-Yogyakarta
28-09-2009,00-26-14.9,-10.01,108.70,30,5.3,S-Pangandaran
03-10-2009,05-23-15.0,-7.83,110.23,33,2.7,S-Yogyakarta
03-10-2009,09-22-14.3,-9.08,109.80,33,3.9,S-Purworejo
04-10-2009,11-11-46.0,-6.92,109.79,30,2.2,Batang
07-10-2009,10-58-00.0,-8.18,109.78,30,4.4,S-Kebumen
07-10-2009,22-42-29.0,-8.89,109.53,30,3.4,S-Kebumen
07-10-2009,23-46-30.0,-9.50,110.49,33,4.4,S-Yogyakarta
08-10-2009,03-57-45.5,-9.58,110.51,33,3.2,S-Wonosari
13-102009,18-47-53.2,-8.84,109.38,30,2.1,S-Kebumen
26-10-2009,03-38-48.9,-8.05,108.52,33,3.7,S-Nusakambangan
27-10-2009,19-49-49.0,-10.38,109.58,33,3.7,S-Cilacap
28-10-2009,20-38-32.1,-7.65,109.08,33,3.1,S-Cilacap
04-11-2009,06-26-18.7,-7.22,108.98,30,3.2,BL-Purwokerto
05-11-2009,02-23-28.7,-7.66,109.72,10,1.2,Kebumen
09-11-2009,11-02-33.8,-8.67,108.90,30,3.5,S-Kebumen
12-11-2009,03-34-56.0,-8.04,109.46,30,2.1,S-Cilacap
19-11-2009,01-19-00.0,-8.60,109.04,30,3.3,S-Cilacap
19-11-2009,08-35-09.7,-8.82,110.39,33,4.9,BD-Wonosari
22-11-2009,07-58-01.7,-9.50,111.45,30,4.7,S-Trenggalek
02-12-2009,20-32-22.5,-7.50,110.38,40,3.1,S-Yogyakarta
06-122009,01-00-35.8,-9.13,109.97,40,4.0,TG-Purworejo
17-12-2009,05-42-17.7,-7.09,111.48,30,4.5,Bojonegoro
19-12-2009,19-08-29.1,-8.51,110.80,30,4.0,S-Yogyakarta
20-12-2009,09-54-31.1,-8.66,110.03,30,3.6,S-Yogyakarta
21-12-2009,10-19-03.7,-7.38,109.76,30,2.5,S-Kebumen
22-12-2009,20-54-04.8,-8.55,111.57,30,3.3,S-Pacitan
24-12-2009,01-14-08.0,-9.02,110.89,30,3.7,TG-Wonosari
26-12-2009,05-13-43.2,-6.08,109.16,30,3.9,Tegal
30-12-2009,11-22-02.3,-6.16,111.57,10,4.5,U-Rembang
31-12-2009,01-45-47.6,-7.49,110.39,30,2.2,Merapi-Jateng
