Station,T.Max,T.Min,T.Med,(C),(%),Wind Dir.,Wind Int.,Press.,Prec.,TotCl,Low,Sun,Vis
Waingapu / Mau Hau,32,21.2,26.3,19.2,67.6,SE,11.6,1011.8,0,1.2,1.2,10.1,7.5
Kupang / El Tari,32.3,23.4,27.2,21.5,72.6,E,18.3,1012.1,0,2.4,1.6,9.3,9
Rote / Baa,30,22.8,26.2,20.8,73.6,ESE,14.1,1016.9,0,2.8,2.5,10.7,10
Sabu / Tardamu,32.4,25.6,28.4,22.6,70.5,E,14.3,1011.5,0,1.3,1.3,10.4,10.6
Galela / Gamarmal...,33.1,22.8,27.2,25.3,90,SSE,3,1008.3,1,4.6,2.9,7.7,8.9
Ternate / Babullah,31.4,24.9,27.3,24.7,86.7,ESE,5.6,1009.8,0.8,5.4,3.2,6.9,9
Labuha/Oesman Sadik,30,24,26.1,24.2,89.5,NE,4.2,1009.1,----,6.6,3.9,4.2,8.2
Deo Sorong,30.2,24.4,26.5,24.7,89.3,ESE,7.2,1008.7,7,4.8,3.4,2.4,6.9
Manokwari / Rendani,31.4,22.3,24.8,22.8,89.8,NW,1.6,1008.7,46,6.5,3.1,1.5,7.8
Biak / Mokmer,28.5,24.3,26,24.8,92,NNE,3.7,1009,0,8,2.8,0,9.8
Serui / Yendosa,29.3,24.8,26.7,24.7,88.9,SSE,3.4,1008,2,6.9,3.4,3,6.4
Sarmi,31.8,24,27.9,24.6,78.9,SSE,2.2,1008.8,0.4,6.5,2.7,4,8.7
Sanana,31.2,25.8,28.6,24.5,78.4,SE,4.8,1009.3,0,4.9,2.9,---,9
Fak-Fak / Torea,28,23.2,24.8,23.5,91.3,SE,11.6,1011.1,1,6.9,3.6,3.3,6.3
Nabire,31.1,22.8,27,25.4,87.1,NW,6.5,1008.7,3,6.3,2.7,3.8,6.3
Wamena / Wamena,26.7,16,19.9,16.8,83.7,E,6.9,835.2,10,6.6,5.3,6.1,6.4
Jayapura / Sentani,34.9,24.4,28,23.6,77.9,SSW,3.7,1008.4,0,5.4,2.1,6.9,10
Jayapura,32,26.2,29.1,25.8,81.1,ENE,4,1008.7,0,5.2,2.7,6,7.8
Namlea,31,24.2,26.7,24,85.8,SE,15.5,1009.4,7,5.5,2.4,10,8.9
Amahai,27.3,24.1,24.7,24.1,96.3,SE,2.5,1010.5,70,7.4,4.9,0,8.4
Ambon / Pattimura,27.9,23.8,25.3,23.8,91.9,SE,7.4,1010,31,7.2,5,0.3,7.2
Geser,30.1,25.6,27.5,24.9,83.6,NE,27.3,1009.6,5,5.7,2.9,3.4,6.1
Kaimana / Utarom,30,25.5,27.1,24,83.8,SSE,9,1009.5,0,5.5,3.1,2.7,7.4
Enarotali,22.6,16.4,19.5,16.5,81.2,NW,5.9,824.1,11,6.5,3.3,4.5,8
Neira,28.2,24.4,26.3,23.6,80.3,SE,18.2,1009.8,17,6.8,5.2,0,7.3
Timika,28,23.5,25.3,24.2,93.9,S,3,1011.5,114,8,5.9,---,3.9
Tual / Dumatubun,29.6,25.2,26.8,23.9,84.1,SE,12.3,1010.2,0,7,4.8,0,7.2
Tanah Merah / Tan...,30.3,24.4,26.6,24.5,89.1,SSE,4.4,1010.3,13,7.4,5,2.3,4.5
Saumlaki,29.2,24.8,26.7,22.3,77.1,ESE,14.4,1011.1,0,3.4,3.4,9.3,15
Merauke / Mopah,28.2,23.9,25.9,22.8,83.6,SE,12.5,1010.3,0,4.9,3.6,9.1,9
Summary,30.9,23.6,26.7,23.5,83.1,ESE,3.7,1009.6,11,5.6,3.2,4.6,8
