Station,T.Max,T.Min,T.Med,(C),(%),Wind Dir.,Wind Int.,Press.,Prec.,TotCl,Low,Sun,Vis
Surabaya / Juanda,32.1,25,28.6,23.9,76.1,E,10.7,1008.7,0,5.4,1.2,6,6.2
Surabaya/Perak Ii,32.9,25.8,29,24.3,75.8,ESE,6,1008.6,0,4.1,1.1,3,9.2
Kalianget Madura ...,32,26,28.6,23.9,76.3,ESE,10.4,1008.8,0,4.4,2.2,5.8,9.6
Banyuwangi,29,24.2,26.1,23.6,87.3,S,5.6,1009.5,22,6,4.5,3.5,7.9
Tahuna,32.2,25,27.7,24.9,85.2,E,4.2,1007.7,0,4.2,2.8,8.4,8.9
Menado / Dr. Sam ...,32.9,22.6,26.2,24,88.9,NNE,4.9,1008,2,5.2,2.6,6,9.6
Bitung,32.4,25.4,28.3,24.5,81.2,S,4.6,1008.4,4,4.9,3.1,7.7,12.1
Toli-Toli / Lalos,31,24,27.3,24.1,83.6,ESE,4.9,1007.8,2,6.6,2.8,7.1,10
Gorontalo / Jalal...,33.3,24.4,27.4,24.9,87.1,SSE,5.8,1006.8,0.6,5.6,3.1,6.7,9.6
Palu / Mutiara,33.2,21.8,26.6,23.9,87,NE,2.8,1009.6,----,5.1,2.4,4.5,8
Luwuk / Bubung,29,24.5,26.4,23.4,84.6,WSW,6.7,1009.1,17,7.5,2.8,0.2,8.5
Poso / Kasiguncu,32,25.2,27.3,23.4,79.3,NNW,2.1,1007.8,6,4.8,2,5.5,8.6
Majene,31.4,25.9,28.3,23.6,76.3,E,10.4,1008.6,Tr,5.6,2.2,7,10.5
Masamba,29.8,23.4,25.8,23.4,87.1,N,5.6,1009.2,12,6.6,2.5,3.6,7.1
Kolaka / Poma,32.2,24.4,28.3,23.4,78.9,ENE,8.3,1009.1,4,5.2,2.2,5.3,9.5
Kendari / Wolterm...,30.4,23,26.7,24.5,86.4,SSW,10.4,1010.6,9,4,3.2,---,7.6
Ujung Pandang / H...,32.8,22.2,27.2,23.7,82.3,W,3,1008.3,0,3.5,1.6,10.3,9
Ujang Pandang,32,25,28.7,23.1,71.9,WNW,5.8,1007.9,0,3.8,1.4,9.4,13.5
Bau-Bau / Beto Am...,32,23.2,26.6,22.5,79.4,E,6,1011.5,0,1.9,1.5,9.6,8.6
Denpasar / Ngurah...,30,26.4,27.8,23.6,78.8,ESE,15.5,1009.9,0,5.9,3,7.5,10
Ampenan / Selapar...,30.7,20.8,26.5,23,83.2,SE,7.6,1010.6,0,3,1.9,8.3,7.6
Sumbawa Besar / S...,33,22,27.3,20.4,67.6,SE,13.7,1008.9,Tr,4.2,2.1,6.9,9
Bima,33,21.8,27,22.3,77.9,SSE,8.1,1009.8,0,3.1,1.5,5.8,8
Ruteng / Satartacik,25.4,12.2,18.8,16.7,82.4,NNE,7.8,886.7,0,3.8,3,7.2,12
Maumere / Wai Oti,31.4,23.4,27.4,21.8,72.6,SW,11.6,1010.6,0,2.2,2.1,10.3,9
Larantuka,32.6,24.2,28,21.9,70.5,SSW,4.9,1009.5,0,2,1.5,8,11.5
Alor / Mali,31.4,22.4,27.5,22.7,74.7,ENE,9,1010,0,3.6,2.3,8.9,10.6
Waingapu / Mau Hau,32.2,22.8,27,20.8,71.1,ESE,10.2,1010.8,0,1.6,1.1,9.8,7.5
Kupang / El Tari,32.2,24.4,27.4,22.3,74.7,E,21.1,1011,0,2.4,1.9,9.2,9
Rote / Baa,31,24.4,26.5,21.4,72.8,ESE,18.5,1015.8,0,3.4,2.6,10,10
Sabu / Tardamu,31.4,26.1,28.2,22.9,73,ESE,14,1010.4,0,1.1,1.1,10.7,10.6
Galela / Gamarmal...,32.8,23.4,27.8,25.3,87.3,E,2.3,1007.6,4,5.6,3.8,8.5,9.8
Ternate / Babullah,31.1,25.4,27.7,24.8,84.3,WNW,3.2,1009.1,0,5.2,3.2,9.4,9.8
Labuha/Oesman Sadik,30,23.4,25.9,23.6,88.3,E,2.1,1007.9,40,5.8,3.6,3.7,8.6
Deo Sorong,31,24.7,27.4,24.6,85.8,SE,8.6,1007.5,5,5,3.6,8.7,7.6
Manokwari / Rendani,32.8,24.1,27.9,24.3,81.8,NNE,6.5,1007.3,2,4.9,2.5,7.4,8.8
Biak / Mokmer,30.8,23.8,26,24.8,94.6,N,5.6,1008,46,7.8,2.9,4.7,9.4
Serui / Yendosa,31,24.6,27.8,24.8,84.1,SE,2.1,1006.7,3,6.9,3,---,7.8
Sarmi,31.4,24.4,27.9,24.4,78.5,ENE,3.3,1008,1,6.4,3.2,3.2,8.4
Sanana,31.2,27.8,29.2,24.5,75.6,ESE,8.5,1008.7,0,5.3,2.9,---,8.7
Fak-Fak / Torea,28.9,22.1,25.5,23.7,89,ENE,5,1009.8,8,6.4,3.9,3.1,7
Nabire,32.6,24.7,28.6,24.7,78.8,NNE,7.1,1007.2,Tr,5.7,2.7,4.7,7.8
Wamena / Wamena,24.1,15.8,19.7,16.9,83.7,SSE,9.3,834.3,3,7,5.6,1.8,5.4
Jayapura / Sentani,36.7,24.6,27.7,23.3,77.9,SSE,5.6,1007.4,7,6,2.5,4.1,9.9
Jayapura,31.8,25.8,28.8,26.4,87.7,NE,8,1008,18,5.7,2.5,3.6,7.5
Namlea,30.6,23.5,26.5,23.8,81.9,SSE,13,1008.5,0.3,3.8,2.1,5.5,9.5
Amahai,29,23.1,25.6,24.6,94.8,S,5.6,1009.1,13,6.4,4.1,3.3,9.9
Ambon / Pattimura,28.8,24,25.6,23.8,89.7,SE,8.1,1009.1,----,6.9,4.1,1.9,7.9
Geser,31,24.8,27.8,24.9,84,SE,11.6,1008.7,27,5.9,3.1,7.7,6
Kaimana / Utarom,30.4,25.5,27.1,23.8,81.8,SE,11.1,1008.3,0,4.8,2.5,3.8,8
Enarotali,24,17.2,20.6,16.6,81.5,NNW,8,823.2,13,7.7,4.7,0.9,5.8
Neira,29.6,24.2,26.9,23.3,81.5,SE,15.4,1009,22,6.7,5.2,9.1,6.5
Timika,28,23.8,25.4,24.1,92.6,SE,3.7,1010.4,15,7.9,5.2,---,4.9
Tual / Dumatubun,30.2,25.8,27.3,23.6,81.3,SE,11.8,1009.1,0,6.9,4.2,3,7.1
Tanah Merah / Tan...,29.8,24.3,26.2,24.2,88.8,SSE,3.5,1009.6,4,6.4,4.6,3.8,7
Saumlaki,30.4,25.8,27.2,22.3,75.1,ESE,18.5,1010,0,3.5,3.1,9.3,15
Merauke / Mopah,28,23.9,25.8,22.6,82.7,SE,10.4,1009.7,0.1,5.2,4,3.7,8.6
Summary,31.1,23.8,26.9,23.6,82.9,SE,3.2,1008.8,8.6,5.7,3.1,5.2,8.1
